ASVAB01;ASVAB02;ASVAB03;ASVAB04;ASVAB05;ASVAB06;ASVABC;HEIGHT;WEIGHT85;WEIGHT02;W_EXP;EARNINGS;HOURS;SM;SF;SIBLINGS;LIBRARY;POV78;TENURE;COLLBARG;CATGOV;CATPRI;CATSE;URBAN;REGNE;REGNC;REGW;REGS;idd;FEMALE;MALE;ETHBLACK;ETHHISP;ETHWHITE;AGE;S;EDUCPROF;EDUCPHD;EDUCMAST;EDUCBA;EDUCAA;EDUCHSD;EDUCDO;SINGLE;MARRIED;DIVORCED;FAITHN;FAITHP;FAITHC;FAITHJ;FAITHO
54;62;55;43;60;41;55,5;71;195;190;15,09615;;16,1;14;12;1;1;0;8,153846;0;0;1;0;1;1;0;0;0;4698;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0
39;46;30;38;37;45;40;72;147;186;20,94615;20,89;46,9;13;8;2;1;0;10,73077;0;0;1;0;1;0;0;0;1;2419;0;1;0;0;1;39;10;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
64;60;61;58;59;51;59,75;71;151;149;18,52308;19,45;39,9;12;9;3;0;0;8,403846;0;0;1;0;0;0;1;0;0;3616;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
60;46;60;52;42;43;51;71;170;209;21,74615;19,23;40;12;16;1;1;0;7,346154;1;1;0;0;1;1;0;0;0;417;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
63;61;56;58;47;50;;68;135;170;21,56154;86,53;50;12;18;0;1;0;6,769231;0;0;1;0;1;1;0;0;0;269;0;1;0;0;1;43;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
45;39;51;57;48;45;46,5;67;209;225;14,15;11,21;44,9;12;12;1;1;0;1,076923;0;0;1;0;1;0;0;0;1;12044;0;1;0;0;1;40;18;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
37;40;43;47;42;43;42,5;63;154;221;20,63077;23,17;40;11;11;3;1;0;12,30769;1;1;0;0;1;0;0;0;1;3932;0;1;1;0;0;40;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
45;45;37;44;48;52;42,75;66;154;169;15,71539;12,88;40;2;0;6;1;1;8,115385;1;0;1;0;0;0;0;1;0;1837;0;1;0;1;0;45;13;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0
60;52;54;56;56;30;53,5;;194;210;23,16923;27,87;45;12;16;0;1;0;2;0;0;1;0;0;0;0;0;1;1107;0;1;0;0;1;45;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
64;65;60;51;61;72;60,25;70;169;171;22,96539;38,04;46,1;16;17;0;1;0;20,73077;0;0;1;0;1;0;0;0;1;5017;0;1;0;0;1;42;14;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
51;41;50;58;42;46;47,5;75;195;240;21,02308;18,37;44,9;12;12;3;1;1;5,480769;0;0;1;0;2;0;1;0;0;3751;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
65;65;56;58;63;69;61;76;229;236;19,88077;16,66;45;16;17;2;1;0;3,692308;0;1;0;0;1;0;0;0;1;5651;0;1;0;0;1;44;18;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
65;52;53;45;43;45;50,5;72;149;190;20,65;43,65;40;12;14;2;1;0;19,03846;1;0;1;0;1;0;1;0;0;4707;0;1;0;0;1;37;12;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
49;46;46;50;51;43;47;68;156;175;22,34231;35,71;34,9;11;11;8;1;0;7,057693;1;1;0;0;1;1;0;0;0;847;0;1;1;0;0;43;16;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
55;54;52;46;42;42;51,5;75;295;401;22,53461;11,32;45,1;10;11;1;0;0;2,134615;0;0;1;0;1;0;0;0;1;2191;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
53;49;50;50;54;50;49,5;68;156;176;20,88846;40,76;40,1;5;6;8;1;1;0,9423077;0;0;1;0;1;0;0;0;1;2703;0;1;0;1;0;42;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
57;54;57;54;55;51;54,75;67;171;179;23,52308;;40;11;12;3;0;0;7,192307;1;0;1;0;1;0;1;0;0;3777;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
54;52;57;49;60;47;52,5;70;141;139;21,36154;12,1;50,1;14;14;1;1;0;6,480769;0;0;1;0;1;0;0;1;0;5187;0;1;0;0;1;41;13;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0
61;57;58;49;54;63;55,25;72;225;259;23,40769;19,36;39,9;12;12;6;1;0;14,76923;0;0;1;0;1;0;0;0;1;4278;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
41;60;41;47;54;52;52;73;165;210;18,00385;21;40,1;12;16;5;1;0;4,961538;1;0;1;0;1;0;1;0;0;659;0;1;0;0;1;43;14;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;63;56;58;54;50;;71;170;175;14,42692;30,86;60,1;13;18;4;1;0;14,26923;0;0;1;0;2;0;1;0;0;4829;0;1;0;0;1;39;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
50;60;51;59;58;50;57,5;69;164;184;23,08077;26,72;38;12;12;6;0;0;21,03846;1;0;1;0;1;0;1;0;0;3591;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
45;46;41;35;42;47;42;67;161;199;19,15769;25;40,1;10;6;4;0;0;0,1346154;0;0;1;0;0;0;0;0;1;1471;0;1;0;0;1;44;8;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
44;57;43;46;50;51;50,75;73;144;191;19,21154;14,05;40,1;12;10;3;1;0;13,63461;1;0;1;0;1;0;1;0;0;4770;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
63;53;53;56;62;55;53,75;68;149;185;19,40769;17,8;40;10;12;5;1;0;13,34615;0;0;1;0;0;0;1;0;0;2475;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
61;54;60;58;60;56;56,5;73;171;180;17,96154;46,9;44,9;16;18;1;0;0;3,326923;0;0;1;0;1;0;0;1;0;2010;0;1;0;0;1;44;19;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
59;52;58;58;53;39;55;73;169;175;20,61923;10,37;39,9;11;14;0;1;1;8,365385;0;0;1;0;1;0;1;0;0;4879;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
60;63;61;57;42;45;61;73;199;249;18,59231;18,85;;12;12;1;1;0;15,13461;1;0;1;0;1;0;0;0;1;4064;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
56;61;59;62;51;54;60,75;67;150;179;14,11154;22,97;60;16;17;4;1;0;13,73077;1;1;0;0;1;0;1;0;0;874;0;1;0;0;1;38;18;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
63;58;55;53;47;50;56;71;201;299;20,28461;13,9;40;10;10;3;1;0;3,942308;0;0;1;0;1;0;0;0;1;3493;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
48;54;50;49;49;51;51,75;68;146;170;12,75385;23,93;20;8;4;3;1;0;3,230769;0;0;1;0;1;0;0;1;0;1851;0;1;0;1;0;43;14;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
67;67;60;59;62;46;63,25;70;154;149;10,94231;25,98;37,1;17;20;3;1;0;5,269231;1;1;0;0;1;0;0;0;1;2845;0;1;0;0;1;39;20;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0
65;55;58;53;51;52;55,25;71;199;250;18,15;29,6;40;12;16;2;1;0;6,134615;1;0;1;0;1;0;0;1;0;4468;0;1;0;0;1;43;13;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
67;66;60;58;44;45;62,5;69;224;230;8,75;15,4;39,9;12;8;2;1;0;4,711538;1;1;0;0;1;0;1;0;0;4799;0;1;0;0;1;40;18;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
66;66;60;61;63;64;63,25;69;136;144;15,92308;3,36;60,1;16;20;2;1;;11,09615;1;0;1;0;1;0;1;0;0;3172;0;1;0;0;1;43;20;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0
35;37;34;34;27;30;;68;160;176;14,88846;11,9;45;10;12;7;1;1;1,692308;0;0;1;0;0;0;0;0;1;4068;0;1;0;0;1;39;8;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
45;37;48;47;39;40;42,25;72;190;210;21,52308;12,09;40,1;10;6;6;0;1;18,59615;0;0;1;0;0;0;1;0;0;5307;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
51;40;49;31;32;36;40;71;167;206;22,81154;14,77;39,9;11;11;2;1;0;2,288461;0;1;0;0;1;0;0;1;0;4335;0;1;0;0;1;42;11;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0
68;65;62;63;62;69;63,75;71;169;164;17,67692;52,85;54,9;14;16;1;1;0;9,538462;0;0;1;0;1;0;0;0;1;5029;0;1;0;0;1;40;16;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
45;39;37;39;36;43;38,5;69;177;236;16,4;13,5;40,1;12;8;5;1;0;14,25;0;0;1;0;1;0;0;1;0;4412;0;1;0;1;0;39;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
65;66;59;58;57;56;62,25;70;154;156;17,82308;28,91;51;16;13;0;0;0;7,538462;0;1;0;0;1;0;1;0;0;653;0;1;0;0;1;42;18;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1
63;59;60;59;63;54;59,25;71;174;179;18,86154;29,15;44,9;16;16;2;1;0;17,92308;0;0;1;0;1;0;0;1;0;825;0;1;0;0;1;44;17;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
53;48;59;54;45;51;52,25;70;235;309;23,18846;37,78;57,1;9;10;0;1;0;14,88461;0;0;1;0;0;0;0;0;1;3829;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
63;65;57;54;63;64;60,25;69;185;241;16,38461;30,45;45;17;17;2;1;0;2,692308;0;0;1;0;1;0;1;0;0;3390;0;1;1;0;0;42;20;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
22;36;24;29;26;25;31,25;65;200;195;20,96539;12,85;50;9;10;3;1;0;1,75;1;1;0;0;0;0;0;0;1;5604;0;1;0;0;1;42;9;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1
52;59;53;56;47;33;56,75;;295;245;3,611539;5,6;58,1;9;12;3;1;0;0,5961539;0;0;1;0;1;0;0;1;0;5207;0;1;0;0;1;43;14;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
44;46;39;22;41;40;38,25;71;184;250;17,73461;25,68;39,9;10;12;3;1;0;4,980769;1;1;0;0;1;0;0;1;0;5235;0;1;0;0;1;38;14;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
58;62;51;57;56;48;58;69;181;191;18,13846;16,43;49,9;12;12;2;1;0;13,55769;0;0;1;0;0;0;0;0;1;1188;0;1;0;0;1;39;15;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0
64;66;59;61;53;55;63;69;215;229;22,6;19,23;40,1;11;12;3;1;0;24,82692;0;0;1;0;1;1;0;0;0;392;0;1;0;0;1;42;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
47;57;52;54;53;52;55;70;135;149;16,38846;20,02;38,1;12;12;2;1;0;5,326923;0;0;1;0;1;0;0;1;0;1788;0;1;0;0;1;37;12;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0
61;46;60;56;46;47;;72;175;214;18,65769;13,9;50;8;12;1;0;0;3,346154;0;0;1;0;0;0;0;0;1;1085;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
27;35;29;30;38;30;32,25;69;143;166;21,46539;12,1;39,9;11;10;6;0;0;16,61539;1;1;0;0;1;0;0;0;1;1527;0;1;1;0;0;45;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
58;50;56;59;41;46;53,75;73;150;184;19,82308;22,29;44;12;12;1;1;0;17,46154;0;1;0;0;1;0;0;0;1;2330;0;1;0;0;1;40;14;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
59;50;58;57;56;54;53,75;71;209;245;10,78846;8,1;40;12;12;3;1;0;0,0576923;0;0;1;0;1;0;0;1;0;1612;0;1;0;0;1;40;15;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
62;64;58;53;47;46;59,75;68;164;175;13,98461;18,8;45;12;12;3;1;0;3,019231;0;0;1;0;1;0;0;0;1;146;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
61;52;50;58;60;39;53;71;158;191;11,75;18,09;51;12;12;1;1;0;2,711539;0;0;1;0;0;0;0;1;0;4552;0;1;0;0;1;38;15;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
65;67;55;60;62;57;62,25;75;181;204;16,07692;29,45;47,1;17;16;1;1;0;7,307693;0;0;1;0;0;0;0;0;1;2291;0;1;0;0;1;37;16;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
54;36;45;49;45;46;41,5;72;191;211;23,13846;21,29;40,1;12;12;5;0;0;7,596154;1;0;1;0;0;1;0;0;0;3059;0;1;0;0;1;45;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
46;44;32;31;19;28;37,75;72;205;208;15,32692;9,7;50;10;10;2;0;0;12,76923;0;0;1;0;0;0;0;0;1;2122;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
69;66;62;59;49;53;63,25;70;159;185;15,99615;47,1;45,1;16;16;6;1;0;13,94231;0;0;1;0;1;0;1;0;0;3431;0;1;0;0;1;38;17;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
46;42;48;42;57;55;43,5;69;146;171;22,00385;15,45;45,1;12;9;1;1;0;3,442308;0;0;1;0;0;0;0;0;1;5586;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
53;36;53;40;44;42;41,25;71;199;218;23,15;14,7;49,9;14;14;1;1;0;2,826923;0;0;1;0;1;0;0;0;1;4159;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
50;54;46;53;53;53;51,75;73;196;201;20,33077;16,51;40,1;12;12;5;0;0;11,59615;1;0;1;0;0;1;0;0;0;1859;0;1;0;0;1;44;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
53;53;55;51;50;39;53;71;171;235;23,1;20,29;50,1;12;12;4;1;0;1,769231;0;0;1;0;1;0;0;1;0;3706;0;1;0;0;1;45;13;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
66;65;60;60;52;47;62,5;65;165;211;13,95769;52,98;40,1;20;20;1;1;1;14,05769;1;1;0;0;1;0;0;0;1;3690;0;1;0;0;1;40;18;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0
59;61;56;45;51;51;55,75;72;191;224;18,48461;24,9;49,9;11;12;3;1;0;3,288461;0;0;1;0;1;1;0;0;0;393;0;1;0;0;1;39;13;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
41;36;32;28;33;35;33;67;158;161;21,63846;7,44;35,9;8;9;3;1;1;0,8653846;0;0;1;0;1;1;0;0;0;1887;0;1;0;0;1;41;12;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
47;51;48;54;43;43;51;70;158;161;22,97692;11,68;43,9;12;12;6;1;0;4,788462;0;0;1;0;1;0;1;0;0;2086;0;1;0;0;1;43;12;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0
52;53;51;58;52;46;53,75;67;136;164;18,53846;25,6;39,9;13;13;5;1;;16,63461;1;0;1;0;1;0;0;1;0;1677;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
39;39;34;49;36;42;40,25;;161;220;18,55385;13,94;40;12;12;0;0;0;2,615385;0;0;1;0;1;1;0;0;0;3310;0;1;1;0;0;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
49;59;55;45;58;49;54,5;75;174;241;15,25385;21,87;39,9;12;12;1;1;0;2,134615;0;0;1;0;1;0;0;0;1;11809;0;1;0;0;1;38;16;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
65;36;59;57;55;55;47;72;161;186;14,42308;27,14;40,1;12;16;2;1;0;1,519231;0;0;1;0;1;0;0;1;0;3588;0;1;0;0;1;40;18;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
51;50;50;53;52;30;50,75;71;191;221;15,38846;14,34;53,9;11;3;4;0;0;0,7692308;0;0;1;0;0;0;0;0;1;5222;0;1;0;1;0;39;16;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
57;55;58;43;52;57;52,75;72;149;174;12,50385;33,92;40;16;16;2;1;0;11,25;1;1;0;0;1;0;0;1;0;1916;0;1;0;0;1;39;19;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
52;59;51;55;63;63;56;71;166;211;20,52308;55;49,9;12;12;1;0;0;14,53846;0;0;1;0;1;0;0;0;1;2033;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
48;55;55;51;48;54;54;72;145;176;16,15769;16,35;42,1;15;14;2;1;0;4,692307;0;0;1;0;0;0;1;0;0;11889;0;1;0;0;1;38;17;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
61;48;58;56;59;56;52,5;75;186;189;20,76539;;50,1;12;12;3;1;1;9,134615;0;0;1;0;1;0;0;0;1;3581;0;1;0;0;1;44;16;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
58;58;52;43;62;58;52,75;70;156;186;16,22692;33,92;51,9;16;17;1;1;0;19,78846;0;0;1;0;1;0;0;1;0;198;0;1;0;0;1;39;18;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
67;60;59;55;62;57;58,5;73;184;211;1,407692;127,9;10;12;14;1;1;0;1,307692;0;0;0;0;1;0;0;0;1;4907;0;1;0;0;1;42;20;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1
47;53;54;53;57;48;53,25;69;164;169;14,82308;17,34;54;12;13;1;1;0;4,923077;0;1;0;0;1;0;1;0;0;562;0;1;0;0;1;40;20;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0
46;50;46;35;48;45;45,25;72;179;195;19,96154;25,4;45,1;12;12;2;1;0;6,980769;1;0;1;0;0;0;1;0;0;3479;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
52;54;56;60;53;44;56;69;166;198;23,13846;10,58;44,9;12;11;2;0;0;2,153846;0;0;1;0;1;0;0;1;0;5263;0;1;0;0;1;45;14;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
39;42;36;29;40;29;37,25;67;181;209;19,80385;16,06;40;12;14;3;1;1;18,92308;1;0;1;0;0;0;1;0;0;5291;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
49;58;50;51;50;54;54,25;66;143;175;15,55769;14,11;39,9;6;6;4;1;0;3,461539;0;0;1;0;0;0;0;0;1;4129;0;1;0;0;1;39;14;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0
57;51;55;57;53;57;53,5;72;161;181;9,673077;31,25;40;13;16;3;1;0;4,826923;0;0;1;0;1;0;0;1;0;12106;0;1;0;0;1;38;18;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1
37;46;49;46;50;48;46,75;66;134;159;13,34231;40,1;50;12;15;2;1;0;5,461538;0;1;0;0;1;0;0;0;1;11972;0;1;0;1;0;40;20;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0
57;54;52;52;42;42;53;74;181;199;13,42308;19,4;52,9;12;12;3;1;0;3,846154;0;0;1;0;1;0;1;0;0;4765;0;1;0;0;1;38;12;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
60;53;58;60;54;57;56;74;186;257;13,44615;20,97;54,9;14;16;1;1;0;1,692308;0;0;1;0;0;1;0;0;0;445;0;1;0;0;1;37;16;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
48;48;46;45;45;51;46,75;68;179;200;17,63846;7,54;40,1;11;11;3;0;0;2,538461;0;0;1;0;0;0;0;1;0;1591;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
63;64;61;58;61;61;61,75;75;201;224;14,30769;33,65;39,9;12;14;2;1;0;2,230769;0;0;1;0;1;1;0;0;0;3141;0;1;0;0;1;40;16;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
58;57;50;46;45;45;52,5;72;139;169;14,05769;22;39,9;13;12;1;1;0;0,0192308;0;0;1;0;0;0;0;1;0;4348;0;1;0;0;1;38;14;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
65;54;61;59;48;44;57;68;185;229;17,79231;18,5;40,1;20;20;2;1;0;16,03846;1;1;0;0;1;0;0;1;0;12068;0;1;0;1;0;39;16;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
45;33;34;45;38;42;36,25;63;109;139;15,33077;15,48;39,9;9;10;2;0;1;11,09615;0;1;0;0;0;0;0;0;1;2767;0;1;0;0;1;38;14;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1
64;59;60;53;58;34;57,75;71;181;201;12,82308;26,51;50,1;12;16;2;1;0;4,269231;0;0;1;0;1;0;1;0;0;2005;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
55;61;59;63;56;49;61;71;176;239;20,26539;16,88;41,1;12;12;4;1;0;11,86539;0;0;1;0;0;0;1;0;0;5377;0;1;0;0;1;41;14;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0
60;55;59;60;51;50;57,25;72;159;200;11,88846;32,15;42;12;10;1;1;0;5,5;0;0;1;0;1;0;0;1;0;4448;0;1;0;0;1;38;16;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0
37;38;21;31;24;42;32;69;169;160;18,35;8,4;40;11;12;7;1;0;3,326923;0;0;1;0;1;1;0;0;0;87;0;1;1;0;0;39;12;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0
58;66;61;61;61;54;63,5;73;156;165;16,70769;19,68;42,1;12;16;3;1;;0,8846154;0;1;0;0;1;1;0;0;0;213;0;1;0;0;1;39;16;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
41;38;29;31;27;41;34;75;179;174;6,830769;6,15;20,1;12;6;7;1;1;0,25;0;0;1;0;1;0;0;0;1;3942;0;1;1;0;0;44;11;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0
30;35;21;33;19;26;31;63;138;165;9,253846;8,65;40,1;11;11;7;1;0;3,730769;0;0;1;0;1;1;0;0;0;85;0;1;1;0;0;43;11;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0
37;36;45;32;49;53;37,25;73;195;188;19,94615;26,22;43,9;7;12;0;0;0;17,78846;1;0;1;0;0;0;0;0;1;2816;0;1;0;0;1;41;12;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1
39;39;44;43;52;43;41,25;67;156;175;9,615385;15,85;47,1;14;12;4;1;1;8,980769;0;0;1;0;0;0;0;0;1;1386;0;1;1;0;0;41;12;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0
67;65;62;61;62;65;63,25;68;160;159;20,85;9,51;59,9;14;12;4;1;0;1,923077;0;0;1;0;0;0;1;0;0;2463;0;1;0;0;1;44;15;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1
53;60;45;55;52;55;55;74;184;176;20,96539;16;39,9;12;14;4;1;0;1,942308;0;0;1;0;0;0;0;1;0;1556;0;1;0;0;1;39;12;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
35;42;33;37;52;52;38,5;73;181;174;16,70769;7,9;49,9;12;12;5;1;0;3,230769;0;0;1;0;1;0;1;0;0;2466;0;1;0;0;1;40;10;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1
64;53;60;59;43;55;56,25;70;156;221;21,57692;14,9;40;13;15;1;1;0;6,057693;0;1;0;0;0;0;0;0;1;1790;0;1;0;0;1;41;12;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0
64;65;58;59;57;56;61,75;72;190;221;17,74615;16,92;40,1;17;20;1;1;0;1,461538;1;0;1;0;1;0;1;0;0;2024;0;1;0;0;1;42;15;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0
67;62;57;60;63;63;60,25;70;212;234;21,33077;41,12;45,1;12;12;1;0;0;0,6730769;0;0;1;0;1;0;1;0;0;3533;0;1;0;0;1;44;14;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0
